StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,9,201502,4.09,48.4,1.71,1.71,0.9,1.71,5,470,0.4,0.32,0.51,1.14,0.31,0.85,0.89,37.3,59.6
9,9,201503,2.47,62.7,-0.55,0.98,-1.66,0.09,77,148,-0.61,-0.24,-0.1,0.44,0.35,0.68,0.86,51.9,73.4
9,9,201504,4.96,70.8,-0.16,1.21,0.99,0.76,183,9,1.03,0.3,0.34,0.92,0.85,0.29,0.9,60.7,80.8
9,9,201505,1.14,74.6,-0.96,-0.96,-2.44,-0.96,298,0,-1.54,-0.08,-0.41,0.04,0.69,-0.01,0.7,62.9,86.3
9,9,201506,4.77,81.1,-1.35,-1.35,-1.46,-1.35,483,0,-0.35,-1.15,-0.35,-0.35,0.17,0.12,0.41,70.2,92
9,9,201507,6.09,83.3,-1.7,-1.7,-1.46,-1.7,567,0,0,-0.39,-1,-0.45,0.36,0.39,0.16,72.8,93.8
9,9,201508,7,81.7,-1.59,-1.59,-0.21,-1.59,518,0,0.49,0.31,-0.01,-0.41,0,0.63,0.11,72.8,90.6
9,9,201509,4.75,76.9,-1.68,-1.68,-0.74,-1.68,357,0,0.06,0.27,0.16,-0.17,-0.24,0.15,0.25,69,84.8
9,9,201510,2.03,68.5,-1.85,-1.85,-1.05,-1.85,144,36,-0.29,-0.29,-0.01,-0.72,-0.42,0.2,0.35,58.9,78.2
9,9,201511,3.32,65,-1.6,-1.6,0.2,-1.43,98,98,0.91,0.25,0.08,0.05,-0.29,-0.02,0.34,55,74.9
9,9,201512,2.11,63.9,-2.25,-2.25,-2.46,-2.25,111,145,-0.5,0.25,-0.06,0.04,-0.22,-0.29,0.37,54,73.8
9,9,201601,3.46,49.1,-2.15,-2.15,-0.39,-2.15,17,510,0.17,-0.21,0.22,0.08,-0.52,-0.32,0.26,38.3,59.9
9,9,201602,4.32,54.1,-1.71,-1.71,0.65,-1.35,17,323,0.51,0.33,-0.01,0.02,0,-0.28,0.43,42,66.2
9,9,201603,2.82,64.8,-2.07,-2.07,-1.62,-2.07,107,113,-0.41,-0.04,0,-0.02,0.01,-0.2,0.37,53,76.6
