StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
8,2,201505,2.26,76.2,-1.31,-1.31,-1.6,-1.31,347,0,-0.48,-0.12,-0.58,-0.36,0.29,-0.34,1.02,64.4,88
8,2,201506,5.5,81.6,-1.69,-1.69,-1.55,-1.69,498,0,-0.31,-0.66,-0.35,-0.61,-0.47,-0.32,0.94,70.8,92.3
8,2,201507,8.06,82.7,-1.66,-1.66,-0.43,-1.66,549,0,0.55,0.03,-0.32,-0.53,-0.04,-0.05,0.64,72.9,92.6
8,2,201508,9.83,82,-1.01,-1.01,1.43,-0.22,527,0,1.2,1.16,0.73,0.01,0.06,0.62,0.82,73,91
8,2,201509,5.93,78.6,-0.89,-0.89,0.06,-0.04,408,0,0.17,0.84,0.91,0.38,0.05,0.08,0.98,70.6,86.6
8,2,201510,1.42,72,-1.35,-1.35,-1.66,-1.22,228,11,-0.89,-0.5,0.29,-0.06,-0.31,0.05,0.99,62.2,81.8
8,2,201511,2.71,69.4,-1.4,-1.4,-0.57,-1.4,174,42,0.54,-0.45,-0.29,0.33,-0.18,-0.12,0.91,59.5,79.2
8,2,201512,1.7,66.5,-2.03,-2.03,-2.33,-2.03,149,103,-0.62,-0.16,-0.75,0.27,-0.1,-0.34,0.7,56.9,76.2
8,2,201601,3.67,52.4,-1.72,-1.72,0.31,-1.51,25,416,0.3,-0.29,-0.02,0.11,-0.14,-0.36,0.55,41.8,63
8,2,201602,3.78,56.1,-1.53,-1.53,0.04,-1.24,28,277,0.26,0.28,-0.14,-0.37,0.13,-0.25,0.49,43.5,68.7
8,2,201603,2.99,66.1,-1.8,-1.8,-1.29,-1.8,121,87,-0.2,-0.09,0.04,-0.4,0.18,-0.07,0.22,54.4,77.9
8,2,201604,3.29,69.4,-1.66,-1.66,-0.13,-1.65,148,16,0.34,-0.03,0.01,-0.03,0.04,-0.13,0,57.4,81.3
8,2,201605,2.93,75.1,-1.69,-1.69,-0.61,-1.69,313,0,-0.07,0.02,-0.21,-0.27,-0.43,-0.04,-0.25,63,87.1
8,2,201606,6.11,81.7,-1.7,-1.7,-0.54,-1.7,501,0,0.01,-0.16,-0.06,-0.12,-0.46,0.04,-0.19,71.2,92.3
8,2,201607,4.12,83.9,-2.72,-2.72,-3.59,-2.72,586,0,-2.38,-1.38,-1.2,-0.83,-0.68,-0.49,-0.4,73.1,94.8
8,2,201608,8.08,82.7,-2.58,-2.58,-0.41,-2.58,549,0,0.52,-0.75,-0.68,-0.7,-0.67,-0.74,-0.09,73.5,92
8,2,201609,7.66,79.9,-2.08,-2.08,0.71,-1.71,447,0,0.75,0.83,-0.02,-0.14,-0.15,-0.43,-0.34,70.3,89.4
8,2,201610,2.79,72.4,-2.06,-2.06,-0.59,-1.88,239,9,-0.1,0.45,0.62,-0.32,-0.31,-0.29,-0.24,61.1,83.6
8,2,201611,0.11,63.6,-2.67,-2.67,-2.47,-2.67,79,121,-1.83,-1,-0.15,-0.61,-0.67,-0.69,-0.63,50.5,76.7
8,2,201612,2.89,61.8,-2.72,-2.72,-0.98,-2.72,79,178,0.09,-0.83,-0.76,-0.57,-0.58,-0.53,-0.59,50.6,73.1
8,2,201701,3.66,59.9,-2.5,-2.5,-0.18,-2.5,83,241,0.3,0.14,-0.47,0.1,-0.6,-0.56,-0.58,47.8,72
8,2,201702,1.3,62.6,-3.16,-3.16,-2.76,-3.16,87,154,-1.28,-0.63,-0.51,-0.52,-0.84,-0.83,-0.74,49.5,75.7
8,2,201703,1.03,63.3,-3.72,-3.72,-2.66,-3.72,78,131,-1.53,-1.88,-1.25,-1.42,-1.26,-1.11,-0.89,50.4,76.2
8,2,201704,3.14,70.4,-3.6,-3.6,-0.77,-3.6,173,11,0.27,-0.85,-1.42,-1.25,-0.66,-1.14,-0.91,57.3,83.6
8,2,201705,4.13,75.6,0.03,-3.19,0.1,-3.09,329,0,0.52,0.38,-0.47,-0.69,-0.69,-0.95,-0.71,63.3,87.9
8,2,201706,11.6,79,1.62,-1.27,4.77,0.77,420,0,1.97,1.7,1.49,0.27,-0.14,-0.22,-0.12,70.5,87.6
8,2,201707,8.65,82.1,1.9,-0.69,1.35,1.75,530,0,0.83,2.11,1.86,0.48,0.18,0.38,-0.06,72.9,91.2
8,2,201708,7.99,81.8,1.95,1.95,0.71,1.95,521,0,0.48,0.81,1.83,0.96,0.53,0.4,-0.26,73.4,90.2
8,2,201709,8.19,78.7,2.34,2.34,1.77,2.34,411,0,0.91,0.95,1.12,1.75,0.84,0.46,-0.03,69.6,87.8
8,2,201710,4.12,72.8,2.34,2.34,0.73,2.34,250,8,0.51,0.96,1.03,2.01,0.91,0.62,0.22,63,82.6
8,2,201711,2.49,63.5,2.21,2.21,0.35,2.21,77,122,0.39,0.52,0.97,1.92,1.29,0.91,0.16,51.7,75.2
8,2,201712,2.53,57.6,1.92,1.92,-0.19,1.77,36,266,-0.1,0.08,0.3,1.03,1.67,0.85,0.24,47.4,67.9
8,2,201801,4.48,50.4,2.25,2.25,1.56,2.25,18,471,0.72,0.3,0.39,0.98,1.99,0.97,0.32,39.1,61.7
8,2,201802,2.07,66.4,1.18,1.18,-2.51,0,139,100,-0.73,-0.04,-0.16,0.52,1.54,1.01,0.19,56.1,76.6
8,2,201803,3.2,60,0.88,0.88,-0.53,-0.52,39,194,-0.09,-0.6,-0.14,0.08,0.69,1.26,0.27,46.9,73.1
8,2,201804,5.02,67.5,1.37,1.37,1.75,0.7,106,31,1.05,0.55,0.07,0.25,0.72,1.52,0.41,55.7,79.3
8,2,201805,8.27,75.4,2.75,2.75,4.57,2.75,322,0,1.93,2.01,1.47,0.95,1.28,1.95,0.84,65.3,85.5
8,2,201806,6.88,81.1,2.72,2.72,0.76,2.72,483,0,0.37,1.57,1.74,1.15,1.02,1.48,0.92,71.4,90.8
8,2,201807,9.07,81.6,3.04,3.04,1.8,3.04,515,0,1.01,0.86,1.83,1.28,1.18,1.51,1.36,72.9,90.3
8,2,201808,7.53,81.9,2.83,2.83,0.32,2.83,524,0,0.28,0.8,0.76,1.58,1.21,1.46,1.34,73.1,90.7
8,2,201809,3.76,82.3,1.82,1.82,-2.16,0.86,519,0,-0.73,-0.46,0.11,1.27,0.92,0.9,0.99,73.3,91.3
8,2,201810,2.5,74.7,1.16,1.16,-1.41,-0.38,305,0,-0.25,-0.87,-0.62,0.87,0.65,0.74,0.98,64.4,84.9
8,2,201811,3.9,63,1.44,1.44,1.2,0.39,70,130,1.25,0.45,-0.26,0.37,1.11,0.91,1.36,52.6,73.5
8,2,201812,9.35,58,3.19,3.19,5.7,3.19,39,256,2.35,2.37,1.84,1.36,2.15,1.77,1.73,48.3,67.8
8,2,201901,4.31,55.2,3.23,3.23,1.09,3.23,40,344,0.63,2.32,2.3,1.27,2.2,1.82,1.76,44,66.4
8,2,201902,1.63,64.4,-0.89,2.01,-2.66,0.87,110,127,-1.03,-0.26,1.43,0.82,1.09,1.65,1.76,54,74.8
8,2,201903,2.13,62.8,-1.37,1.23,-1.71,-0.58,71,139,-0.67,-1.2,-0.6,0.85,0.76,1.45,1.82,51.2,74.4
8,2,201904,2.98,69.1,-1.37,0.96,-0.44,-0.93,140,17,0.19,-0.45,-0.97,0.95,0.44,1.26,1.79,56.8,81.4
8,2,201905,2.31,78.4,-1.85,-1.85,-1.86,-1.85,415,0,-0.45,-0.32,-0.73,0.49,0.23,0.53,1.7,67.1,89.8
8,2,201906,7.34,81.6,-1.64,-1.64,0.06,-1.54,498,0,0.56,0.05,0.03,-0.51,0.68,0.62,1.44,72.3,91
8,2,201907,6.83,82.1,-1.84,-1.84,-1.11,-1.84,530,0,-0.1,0.25,-0.12,-0.83,0.77,0.32,1.32,72.7,91.5
